Sample_title	HCM269	HCM273	HCM282	HCM395	HCM405	HCM420	HCM429	HCM431	HCM437	HCM439	HCM443	HCM456	HCM460	HCM483	HCM486	HCM490	HCM491	HCM493	HCM498	HCM504	HCM506	HCM515	HCM518	HCM533	HCM541	HCM552	HCM562	HCM591	N102-LV	N103-LV	N104-LV	N105-LV	ND1-LV	ND2	sc2-LV	sc5-LV	sc6-LV
Sample_geo_accession	GSM3730500	GSM3730501	GSM3730502	GSM3730503	GSM3730504	GSM3730505	GSM3730506	GSM3730507	GSM3730508	GSM3730509	GSM3730510	GSM3730511	GSM3730512	GSM3730513	GSM3730514	GSM3730515	GSM3730516	GSM3730517	GSM3730518	GSM3730519	GSM3730520	GSM3730521	GSM3730522	GSM3730523	GSM3730524	GSM3730525	GSM3730526	GSM3730527	GSM3730528	GSM3730529	GSM3730530	GSM3730531	GSM3730532	GSM3730533	GSM3730534	GSM3730535	GSM3730536
Sample_status	Public on Apr 19 2019	Public on Apr 19 2019	Public on Apr 19 2019	Public on Apr 19 2019	Public on Apr 19 2019	Public on Apr 19 2019	Public on Apr 19 2019	Public on Apr 19 2019	Public on Apr 19 2019	Public on Apr 19 2019	Public on Apr 19 2019	Public on Apr 19 2019	Public on Apr 19 2019	Public on Apr 19 2019	Public on Apr 19 2019	Public on Apr 19 2019	Public on Apr 19 2019	Public on Apr 19 2019	Public on Apr 19 2019	Public on Apr 19 2019	Public on Apr 19 2019	Public on Apr 19 2019	Public on Apr 19 2019	Public on Apr 19 2019	Public on Apr 19 2019	Public on Apr 19 2019	Public on Apr 19 2019	Public on Apr 19 2019	Public on Apr 19 2019	Public on Apr 19 2019	Public on Apr 19 2019	Public on Apr 19 2019	Public on Apr 19 2019	Public on Apr 19 2019	Public on Apr 19 2019	Public on Apr 19 2019	Public on Apr 19 2019
Sample_submission_date	Apr 18 2019	Apr 18 2019	Apr 18 2019	Apr 18 2019	Apr 18 2019	Apr 18 2019	Apr 18 2019	Apr 18 2019	Apr 18 2019	Apr 18 2019	Apr 18 2019	Apr 18 2019	Apr 18 2019	Apr 18 2019	Apr 18 2019	Apr 18 2019	Apr 18 2019	Apr 18 2019	Apr 18 2019	Apr 18 2019	Apr 18 2019	Apr 18 2019	Apr 18 2019	Apr 18 2019	Apr 18 2019	Apr 18 2019	Apr 18 2019	Apr 18 2019	Apr 18 2019	Apr 18 2019	Apr 18 2019	Apr 18 2019	Apr 18 2019	Apr 18 2019	Apr 18 2019	Apr 18 2019	Apr 18 2019
Sample_last_update_date	Apr 19 2019	Apr 19 2019	Apr 19 2019	Apr 19 2019	Apr 19 2019	Apr 19 2019	Apr 19 2019	Apr 19 2019	Apr 19 2019	Apr 19 2019	Apr 19 2019	Apr 19 2019	Apr 19 2019	Apr 19 2019	Apr 19 2019	Apr 19 2019	Apr 19 2019	Apr 19 2019	Apr 19 2019	Apr 19 2019	Apr 19 2019	Apr 19 2019	Apr 19 2019	Apr 19 2019	Apr 19 2019	Apr 19 2019	Apr 19 2019	Apr 19 2019	Apr 19 2019	Apr 19 2019	Apr 19 2019	Apr 19 2019	Apr 19 2019	Apr 19 2019	Apr 19 2019	Apr 19 2019	Apr 19 2019
Sample_type	SRA	SRA	SRA	SRA	SRA	SRA	SRA	SRA	SRA	SRA	SRA	SRA	SRA	SRA	SRA	SRA	SRA	SRA	SRA	SRA	SRA	SRA	SRA	SRA	SRA	SRA	SRA	SRA	SRA	SRA	SRA	SRA	SRA	SRA	SRA	SRA	SRA
Sample_channel_count	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Sample_source_name_ch1	Myocardial tissue	Myocardial tissue	Myocardial tissue	Myocardial tissue	Myocardial tissue	Myocardial tissue	Myocardial tissue	Myocardial tissue	Myocardial tissue	Myocardial tissue	Myocardial tissue	Myocardial tissue	Myocardial tissue	Myocardial tissue	Myocardial tissue	Myocardial tissue	Myocardial tissue	Myocardial tissue	Myocardial tissue	Myocardial tissue	Myocardial tissue	Myocardial tissue	Myocardial tissue	Myocardial tissue	Myocardial tissue	Myocardial tissue	Myocardial tissue	Myocardial tissue	Myocardial tissue	Myocardial tissue	Myocardial tissue	Myocardial tissue	Myocardial tissue	Myocardial tissue	Myocardial tissue	Myocardial tissue	Myocardial tissue
Sample_organism_ch1	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens
Sample_characteristics_ch1	group: hypertrophic cardiomyopathy	group: hypertrophic cardiomyopathy	group: hypertrophic cardiomyopathy	group: hypertrophic cardiomyopathy	group: hypertrophic cardiomyopathy	group: hypertrophic cardiomyopathy	group: hypertrophic cardiomyopathy	group: hypertrophic cardiomyopathy	group: hypertrophic cardiomyopathy	group: hypertrophic cardiomyopathy	group: hypertrophic cardiomyopathy	group: hypertrophic cardiomyopathy	group: hypertrophic cardiomyopathy	group: hypertrophic cardiomyopathy	group: hypertrophic cardiomyopathy	group: hypertrophic cardiomyopathy	group: hypertrophic cardiomyopathy	group: hypertrophic cardiomyopathy	group: hypertrophic cardiomyopathy	group: hypertrophic cardiomyopathy	group: hypertrophic cardiomyopathy	group: hypertrophic cardiomyopathy	group: hypertrophic cardiomyopathy	group: hypertrophic cardiomyopathy	group: hypertrophic cardiomyopathy	group: hypertrophic cardiomyopathy	group: hypertrophic cardiomyopathy	group: hypertrophic cardiomyopathy	group: Healthy	group: Healthy	group: Healthy	group: Healthy	group: Healthy	group: Healthy	group: Healthy	group: Healthy	group: Healthy
Sample_characteristics_ch1	Sex: male	Sex: male	Sex: male	Sex: male	Sex: female	Sex: male	Sex: female	Sex: male	Sex: male	Sex: female	Sex: female	Sex: male	Sex: male	Sex: male	Sex: female	Sex: female	Sex: female	Sex: male	Sex: male	Sex: male	Sex: male	Sex: male	Sex: female	Sex: male	Sex: male	Sex: male	Sex: female	Sex: male	Sex: male	Sex: male	Sex: male	Sex: male	Sex: male	Sex: male	Sex: male	Sex: female	Sex: male
